nom_artiste,nom_reel,naissance,nationalite,technique,relation_banksy,periode_active
Thierry Guetta (Mr. Brainwash),Thierry Guetta,1966,Franco-américain,"Pop art, collages",Protagoniste documentaire,2008-2025
Shepard Fairey (OBEY),Frank Shepard Fairey,1970,Américain,"Sérigraphie, pochoirs",Collaborateur ami,1989-2025
Invader,Franck Slama,1969,Français,Mosaïques pixelisées,Cousin de Guetta,1998-2025
Zevs,Christophe Aguirre Schwarz,1977,Français,Liquidation de logos,Contemporain parisien,1990-2025
